City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,8.18,89,72,1.75,AU,1690042252
1,guerrero negro,27.9769,-114.0611,21.98,68,9,5.06,MX,1690042231
2,ribeira grande,38.5167,-28.7,24.32,78,40,2.06,PT,1690042252
3,uturoa,-16.7333,-151.4333,24.11,75,100,6.73,PF,1690042252
4,bam,29.106,58.357,35.62,8,41,6.64,IR,1690042252
5,port-aux-francais,-49.35,70.2167,2.97,81,96,15.18,TF,1690042252
6,qionghai,19.2425,110.4642,26.03,91,4,2.04,CN,1690042252
7,adamstown,-25.066,-130.1015,20.87,61,97,6.7,PN,1690042253
8,iqaluit,63.7506,-68.5145,5.39,100,97,2.68,CA,1690042253
9,st. john's,47.5649,-52.7093,27.66,69,20,6.17,CA,1690041608
10,ilulissat,69.2167,-51.1,9.01,81,100,2.57,GL,1690042253
11,albany,42.6001,-73.9662,25.19,61,1,0.89,US,1690042151
12,west island,-12.1568,96.8225,24.99,83,100,7.2,CC,1690042253
13,talnakh,69.4865,88.3972,18.45,84,100,2.15,RU,1690042253
14,tavda,58.0425,65.2726,16.87,88,98,2.5,RU,1690042254
15,pechea,45.6333,27.8,33.88,27,34,6.01,RO,1690042254
16,barra do corda,-5.5,-45.25,35.18,22,26,3.61,BR,1690042254
17,kolonia,50.9333,6.95,26.09,32,0,5.14,DE,1690042254
18,khanpur mahar,27.8436,69.4137,39.37,35,92,0.96,PK,1690042254
19,pionerskiy,54.9508,20.2275,20.42,58,8,8.17,RU,1690042255
20,ancud,-41.8697,-73.8203,5.75,84,100,2.09,CL,1690042255
21,qaqortoq,60.7167,-46.0333,10.42,80,92,1.88,GL,1690042255
22,waitangi,-43.9535,-176.5597,11.01,96,100,2.24,NZ,1690042133
23,anadyr,64.75,177.4833,13.28,87,40,3.0,RU,1690042255
24,vesele,47.0148,34.915,29.39,30,22,3.78,UA,1690042256
25,chibougamau,49.9168,-74.3659,16.79,88,100,3.41,CA,1690042256
26,chonchi,-42.6128,-73.8092,6.73,73,99,2.06,CL,1690042256
27,isafjordur,66.0755,-23.124,11.02,71,100,2.06,IS,1690042256
28,falenki,58.3613,51.5946,14.9,85,34,3.35,RU,1690042256
29,edinburgh of the seven seas,-37.0676,-12.3116,12.91,74,12,9.4,SH,1690042257
30,port alfred,-33.5906,26.891,16.21,78,100,0.45,ZA,1690042257
31,usogorsk,63.4106,48.6872,16.17,81,56,2.54,RU,1690042257
32,puerto natales,-51.7236,-72.4875,-0.57,78,31,1.82,CL,1690042173
33,nuuk,64.1835,-51.7216,8.34,100,75,10.8,GL,1690042257
34,celestun,20.8667,-90.4,30.78,64,63,1.84,MX,1690042257
35,labytnangi,66.6572,66.4183,19.76,81,100,4.52,RU,1690042258
36,rapar,23.5667,70.6333,31.14,71,91,1.69,IN,1690042258
